prefecture_code,prefecture_name,total_quantity,total_area_km2,forest_area_km2,park_area_km2,greenspace_area_km2,greenspace_ratio_percent,total_pop,elderly_pop,unemployment_rate,single_household_rate,university_grad_rate,income_per_capita,psych_clinic_density,psych_doctor_density,annual_sunshine_hours,aging_rate,greenspace_quartile,prescription_per_100k
1,北海道,418089187.4941801,78421.35,55361.44,142.23,55503.670000000006,70.77622356666903,5043000,1677000,5.062710688082492,1523.6357263680834,52.7,1501.2268512790006,4.184017449930597,13.49692643267896,145.0,33.25401546698394,2,8290485.573947651
2,青森県,88912825.89649999,9645.62,6332.09,21.07,6353.16,65.86575046497788,1165000,416000,6.28862660944206,2007.332144979204,54.2,1282.3059442060087,3.3476394849785405,11.995708154506438,142.0,35.708154506437765,1,7632002.222875536
3,岩手県,88115657.3415,15275.01,11693.02,15.83,11708.85,76.65363230531437,1145000,405000,5.193886462882097,1462.7788228970703,49.9,1352.4306969432314,3.5807860262008737,12.043668122270743,114.0,35.37117903930131,3,7695690.597510916
4,宮城県,155511164.56174,7282.29,4144.36,41.42,4185.78,57.4788974347355,2248000,665000,5.440725088967971,1236.9562248173188,55.6,1567.045152135231,4.893238434163701,13.656583629893236,90.0,29.58185053380783,1,6917756.430682385
5,秋田県,83420159.5739,11637.52,8392.9,18.87,8411.77,72.28146546686924,897000,354000,5.46432552954292,2036.6591343646792,49.4,1272.276319955407,4.3478260869565215,13.58974358974359,162.0,39.46488294314381,2,9299906.307012264
6,山形県,79189772.05737,9323.13,6692.18,18.83,6711.01,71.98237072742737,1011000,360000,4.705736894164193,1093.14789687924,51.0,1378.6067675568745,7.41839762611276,12.982195845697332,138.0,35.60830860534125,2,7832816.2272373885
7,福島県,145078055.1536,13784.14,9720.62,24.8,9745.42,70.70023955067201,1743000,587000,5.370768789443488,1246.1143843965867,50.9,1482.963063109581,6.024096385542169,11.749856569133678,100.0,33.67756741250717,2,8323468.454021801
8,茨城県,176407409.73409998,6097.24,1892.71,28.34,1921.05,31.5068785220854,2806000,866000,4.912330719885959,385.0361320717052,57.4,1660.3101585887384,3.2074126870990733,10.74305060584462,109.0,30.8624376336422,0,6286792.934215966
9,栃木県,127870314.97092,6408.09,3474.63,28.19,3502.82,54.66246572691708,1885000,575000,5.198010610079575,469.4182418134213,56.9,1639.568396816976,4.084880636604774,13.12732095490716,112.0,30.50397877984085,1,6783571.085990451
10,群馬県,136085602.19050002,6362.28,4248.6,26.53,4275.13,67.19493640644549,1890000,588000,4.969444444444445,319.5488721804512,57.4,1592.2560137566138,5.291005291005291,12.320105820105823,104.0,31.11111111111111,1,7200296.412195769
11,埼玉県,431132281.63598,3797.75,1192.23,52.28,1244.51,32.76966624975314,7332000,2018000,4.765855155482815,416.1125686962461,65.8,1868.52797735952,4.350791052918713,9.316012002182216,100.0,27.52318603382433,0,5880145.685160666
12,千葉県,367694318.46309,5157.31,1484.0,43.52,1527.52,29.618541448933648,6251000,1759000,4.567589185730283,442.0187390149462,64.7,1972.499631418973,4.7352423612222045,10.815069588865782,99.0,28.13949768037114,0,5882167.948537674
13,東京都,1011147147.9840502,2194.05,789.37,59.91,849.28,38.70832478749344,14178000,3215000,3.972298631682889,502.7307781365819,74.1,2793.711335590351,10.798420087459444,17.131471293553393,105.0,22.675976865566373,0,7131803.836817958
14,神奈川県,571256863.88689,2416.11,942.58,51.85,994.43,41.15830818961057,9225000,2400000,4.303983739837399,579.5207958187224,69.4,2171.8939798373985,7.457994579945799,11.61029810298103,104.0,26.01626016260163,0,6192486.329397183
15,新潟県,151196136.05631,12583.95,8550.84,31.28,8582.12,68.19893594618543,2099000,717000,4.882205812291566,1119.1170906033217,53.7,1444.0058489757027,5.431157694140067,11.657932348737496,161.0,34.15912339209147,1,7203246.119881372
16,富山県,64201166.24958,4247.54,2840.15,16.39,2856.54,67.2516327097567,997000,331000,4.192326980942828,502.5564478829416,58.4,1638.8603460381144,4.012036108324975,14.488465396188566,182.0,33.19959879638917,1,6439434.929747242
17,石川県,69259809.1866,4186.2,2854.81,15.73,2870.54,68.57149682289428,1098000,337000,4.466757741347905,791.5599279209079,62.7,1621.303776867031,3.460837887067396,15.437158469945354,172.0,30.69216757741348,2,6307815.04431694
18,福井県,45010113.9825,4190.52,3110.37,11.99,3122.36,74.51008466729665,739000,235000,3.958389715832205,450.5116959064328,61.2,1632.664803788904,3.924221921515562,14.42489851150203,170.0,31.79972936400541,3,6090678.482070366
19,山梨県,49735987.96288999,4465.27,3482.83,7.98,3490.81,78.17690755542218,791000,253000,5.159608091024021,477.5384615384615,62.4,1611.7070960809103,5.562579013906447,13.577749683944374,95.0,31.98482932996207,3,6287735.519960809
20,長野県,150939732.9192,13561.56,10669.51,28.17,10697.68,78.88237046475479,1987000,654000,4.445772521389029,568.9150078430506,55.3,1580.191795168596,5.284348263714142,13.31152491192753,113.0,32.91394061399094,3,7596363.005495722
21,岐阜県,118277828.259,10621.29,8611.69,20.37,8632.060000000001,81.27129567124145,1916000,602000,4.38491649269311,315.4298087134011,61.1,1630.7288731732776,5.010438413361169,12.082463465553236,120.0,31.419624217119,3,6173164.31414405
22,静岡県,218587793.77257,7777.28,4963.150000000001,31.73,4994.88,64.22399605003292,3527000,1101000,5.0537992628296005,393.13718144050085,58.1,1745.4344499574709,4.309611567904734,12.09951800396938,113.0,31.216331159625742,1,6197555.820033173
23,愛知県,455811019.55217,5173.150000000001,2176.6,59.36,2235.96,43.22240801059316,7460000,1928000,4.1325067024128685,365.0831767136267,64.0,1974.575785120644,5.576407506702413,12.410187667560322,109.0,25.84450402144772,0,6110067.286222117
24,三重県,109884262.54402,5774.47,3718.37,17.39,3735.76,64.69442217207812,1711000,529000,3.972822910578609,365.5864820043925,55.4,1665.5818071303331,4.032729398012858,12.843366452367036,112.0,30.91759205143192,1,6422224.578843951
25,滋賀県,79643082.2207,4017.38,2038.68,12.79,2051.4700000000003,51.06487312626638,1402000,382000,4.14425820256776,438.40113688368615,61.7,1683.739403708987,3.8516405135520686,12.749643366619118,129.0,27.24679029957204,0,5680676.335285306
26,京都府,157305282.1993,4612.2,3422.5,19.96,3442.46,74.63813364554876,2520000,752000,4.59375,592.9245854012831,74.0,1684.4704805555557,7.222222222222222,17.990079365079364,108.0,29.84126984126984,3,6242273.103146825
27,大阪府,560731687.689,1905.34,567.38,50.24,617.62,32.415211983163104,8757000,2418000,4.936308096380039,526.3516066900721,68.9,1729.1875128468653,9.432454036770585,15.141030033116364,103.0,27.6121959575197,0,6403239.553374443
28,兵庫県,326324336.79805,8400.94,5587.5,71.22,5658.72,67.3581765850012,5337000,1611000,4.662403972269065,615.6307547358354,68.5,1780.8954549372306,7.045156454937231,14.616825932171636,96.0,30.18549747048904,1,6114377.680308226
29,奈良県,80018645.29532999,3690.94,2836.89,18.3,2855.19,77.35671671715065,1285000,423000,4.794357976653696,841.7257058263721,65.2,1625.1359898832684,5.7587548638132295,15.05058365758755,112.0,32.91828793774319,3,6227131.929597665
30,和歌山県,68846959.405,4724.68,3615.38,7.59,3622.97,76.68180702185121,880000,303000,4.905113636363636,1275.0,57.1,1404.1895795454543,6.0227272727272725,17.102272727272727,101.0,34.43181818181818,3,7823518.114204546
31,鳥取県,34216363.42103,3507.14,2591.2200000000003,6.58,2597.8,74.07175077128373,531000,179000,4.569679849340866,1176.369691923397,51.4,1346.60734086629,6.4030131826742,17.68361581920904,148.0,33.70998116760829,2,6443759.589647834
32,島根県,51791983.00221999,6707.900000000001,5243.63,11.05,5254.68,78.33569373425364,642000,226000,3.616043613707165,851.611669057867,50.1,1396.948666666667,8.411214953271028,16.76791277258567,149.0,35.202492211838006,3,8067287.071996883
33,岡山県,119778435.77984,7114.33,4847.45,29.22,4876.67,68.54714358203793,1831000,571000,4.487711632987439,747.4841282333806,56.8,1531.8736450027309,5.789186237028947,17.124522119060625,86.0,31.185144729655928,2,6541695.018014201
34,広島県,187246651.7536,8479.22,6115.76,29.99,6145.75,72.48013378589069,2714000,824000,4.290346352247605,698.703591910655,65.7,1651.408445467944,5.2689756816507,14.498894620486368,95.0,30.36109064112012,2,6899287.094826823
35,山口県,91940721.9598,6112.55,4367.32,20.25,4387.57,71.77969914356528,1281000,455000,4.347384855581577,1029.525831564048,48.5,1489.7571428571428,5.152224824355971,14.586260733801716,112.0,35.51912568306011,2,7177261.667431695
36,徳島県,46295708.506000005,4146.99,3147.03,5.89,3152.92,76.0291199158908,685000,245000,5.26058394160584,1249.5153381229331,59.7,1463.258478832117,7.737226277372263,18.08759124087592,106.0,35.76642335766424,3,6758497.59211679
37,香川県,58575451.61500001,1876.92,878.29,16.17,894.4599999999999,47.65573386185879,917000,301000,4.387404580152672,723.4709717479044,58.4,1549.373653217012,5.779716466739368,15.517993456924756,93.0,32.82442748091603,0,6387726.457470012
38,愛媛県,87582330.089,5676.12,4009.58,15.74,4025.32,70.91675299324186,1276000,440000,4.573471786833856,1228.536292085702,57.7,1398.1138252351095,6.661442006269593,15.23510971786834,107.0,34.48275862068966,2,6863818.972492163
39,高知県,47320854.908,7103.6,5940.900000000001,7.61,5948.51,83.73937158623797,656000,240000,4.982469512195122,1844.572886953911,57.7,1340.2015762195122,6.25,17.88109756097561,114.0,36.58536585365854,3,7213544.955487805
40,福岡県,326914494.39156,4986.86,2241.36,47.93,2289.29,45.90644212991742,5092000,1456000,5.301158680282797,846.0295529377989,58.7,1557.7343760801257,5.813040062843676,16.41987431264729,126.0,28.59387274155538,0,6420158.962913591
41,佐賀県,49090051.93781,2440.67,1107.83,9.13,1116.96,45.76448270351994,788000,252000,4.751586294416244,843.668903803132,48.4,1387.416654822335,4.695431472081219,15.418781725888326,104.0,31.979695431472084,0,6229702.02256472
42,長崎県,90598637.9748,4130.9800000000005,2427.75,15.56,2443.31,59.146013778812765,1252000,434000,4.8847843450479225,1240.572761435791,49.7,1330.6373785942492,4.792332268370608,17.66773162939297,108.0,34.66453674121406,1,7236312.937284346
43,熊本県,112167788.7679,7409.39,4590.08,15.45,4605.53,62.15801840637353,1697000,553000,4.908073070123748,841.1176124363813,50.4,1378.3522268709487,4.124926340601061,15.992928697701828,112.0,32.58691809074838,1,6609769.520795521
44,大分県,79599700.68240002,6340.7,4508.91,12.81,4521.72,71.3126310975129,1085000,374000,5.213594470046084,881.4045847576915,52.1,1375.3399843317973,5.622119815668203,15.94009216589862,97.0,34.47004608294931,2,7336377.943078343
45,宮崎県,72316517.83880001,7735.0,5852.57,19.37,5871.94,75.91389786683904,1033000,351000,4.998305905130687,1478.854120758043,48.0,1296.1531016456922,6.098741529525653,14.075508228460794,138.0,33.978702807357216,3,7000630.9621297205
46,鹿児島県,98368220.11879,9186.42,5939.59,19.53,5959.12,64.86879546112631,1532000,524000,5.0625,1512.7856569440728,48.1,1281.7690045691909,3.328981723237598,15.234986945169712,132.0,34.20365535248042,1,6420902.0965267625
47,沖縄県,86748816.1701,2282.15,1031.49,15.35,1046.84,45.87077974716824,1466000,355000,5.744031377899045,797.7831827658096,46.7,1301.3045900409277,6.753069577080491,13.741473396998636,150.0,24.21555252387449,0,5917381.730566166
